iter	Passed	Remaining
0	108	108659
1	157	78435
2	194	64501
3	238	59336
4	258	51470
5	325	53913
6	349	49552
7	390	48481
8	437	48202
9	476	47130
10	494	44432
11	533	43899
12	552	41916
13	577	40677
14	603	39651
15	628	38633
16	659	38160
17	684	37351
18	695	35922
19	704	34517
20	729	34004
21	747	33227
22	759	32274
23	776	31596
24	803	31347
25	829	31060
26	835	30103
27	860	29878
28	889	29792
29	914	29583
30	969	30292
31	1003	30344
32	1034	30311
33	1059	30098
34	1073	29591
35	1102	29515
36	1122	29217
37	1146	29014
38	1160	28594
39	1180	28339
40	1200	28091
41	1223	27903
42	1236	27529
43	1268	27567
44	1290	27393
45	1310	27183
46	1332	27022
47	1353	26845
48	1373	26659
49	1394	26489
50	1415	26331
51	1435	26168
52	1449	25899
53	1465	25672
54	1485	25520
